# Time,Step,PotEng
2.252000000000000000e+05,2.252000000000000000e+06,-9.346967800000000352e+03
2.254000000000000000e+05,2.254000000000000000e+06,-9.336758200000000215e+03
2.256000000000000000e+05,2.256000000000000000e+06,-9.347288899999999558e+03
2.258000000000000000e+05,2.258000000000000000e+06,-9.339989299999999275e+03
2.260000000000000000e+05,2.260000000000000000e+06,-9.339095400000000154e+03
2.262000000000000000e+05,2.262000000000000000e+06,-9.351770500000000538e+03
2.264000000000000000e+05,2.264000000000000000e+06,-9.357531600000000253e+03
2.266000000000000000e+05,2.266000000000000000e+06,-9.343833800000000338e+03
2.268000000000000000e+05,2.268000000000000000e+06,-9.357172500000000582e+03
2.270000000000000000e+05,2.270000000000000000e+06,-9.352411799999999857e+03
2.272000000000000000e+05,2.272000000000000000e+06,-9.334031399999999849e+03
2.274000000000000000e+05,2.274000000000000000e+06,-9.351092399999999543e+03
2.276000000000000000e+05,2.276000000000000000e+06,-9.350654800000000250e+03
2.278000000000000000e+05,2.278000000000000000e+06,-9.348535400000000664e+03
2.280000000000000000e+05,2.280000000000000000e+06,-9.347563599999999497e+03
2.282000000000000000e+05,2.282000000000000000e+06,-9.355132299999999304e+03
2.284000000000000000e+05,2.284000000000000000e+06,-9.343506799999999203e+03
2.286000000000000000e+05,2.286000000000000000e+06,-9.345865100000000893e+03
2.288000000000000000e+05,2.288000000000000000e+06,-9.358620300000000498e+03
2.290000000000000000e+05,2.290000000000000000e+06,-9.343847799999999552e+03
2.292000000000000000e+05,2.292000000000000000e+06,-9.341811100000000806e+03
2.294000000000000000e+05,2.294000000000000000e+06,-9.356910900000000765e+03
2.296000000000000000e+05,2.296000000000000000e+06,-9.357174300000000585e+03
2.298000000000000000e+05,2.298000000000000000e+06,-9.342559300000000803e+03
2.300000000000000000e+05,2.300000000000000000e+06,-9.344376099999999497e+03
2.302000000000000000e+05,2.302000000000000000e+06,-9.359822899999999208e+03
2.304000000000000000e+05,2.304000000000000000e+06,-9.347451600000000326e+03
2.306000000000000000e+05,2.306000000000000000e+06,-9.345376700000000710e+03
2.308000000000000000e+05,2.308000000000000000e+06,-9.356464099999999235e+03
2.310000000000000000e+05,2.310000000000000000e+06,-9.342781499999999141e+03
2.312000000000000000e+05,2.312000000000000000e+06,-9.342726199999999153e+03
2.314000000000000000e+05,2.314000000000000000e+06,-9.350572099999999409e+03
2.316000000000000000e+05,2.316000000000000000e+06,-9.345864799999999377e+03
2.318000000000000000e+05,2.318000000000000000e+06,-9.340293200000000070e+03
2.320000000000000000e+05,2.320000000000000000e+06,-9.349297200000000885e+03
2.322000000000000000e+05,2.322000000000000000e+06,-9.344386800000000221e+03
2.324000000000000000e+05,2.324000000000000000e+06,-9.343762000000000626e+03
2.326000000000000000e+05,2.326000000000000000e+06,-9.342645399999999427e+03
2.328000000000000000e+05,2.328000000000000000e+06,-9.352968999999999141e+03
2.330000000000000000e+05,2.330000000000000000e+06,-9.346502300000000105e+03
2.332000000000000000e+05,2.332000000000000000e+06,-9.348585100000000239e+03
2.334000000000000000e+05,2.334000000000000000e+06,-9.345932099999999991e+03
2.336000000000000000e+05,2.336000000000000000e+06,-9.351256799999999203e+03
2.338000000000000000e+05,2.338000000000000000e+06,-9.340998199999999997e+03
2.340000000000000000e+05,2.340000000000000000e+06,-9.336098900000000867e+03
2.342000000000000000e+05,2.342000000000000000e+06,-9.351968699999999444e+03
2.344000000000000000e+05,2.344000000000000000e+06,-9.347083699999999226e+03
2.346000000000000000e+05,2.346000000000000000e+06,-9.340179099999999380e+03
2.348000000000000000e+05,2.348000000000000000e+06,-9.354014999999999418e+03
2.350000000000000000e+05,2.350000000000000000e+06,-9.347062799999999697e+03
2.352000000000000000e+05,2.352000000000000000e+06,-9.342453100000000632e+03
2.354000000000000000e+05,2.354000000000000000e+06,-9.343269399999999223e+03
2.356000000000000000e+05,2.356000000000000000e+06,-9.337786899999999150e+03
2.358000000000000000e+05,2.358000000000000000e+06,-9.336192600000000311e+03
2.360000000000000000e+05,2.360000000000000000e+06,-9.341891700000000128e+03
2.362000000000000000e+05,2.362000000000000000e+06,-9.350509400000000824e+03
2.364000000000000000e+05,2.364000000000000000e+06,-9.355092199999999139e+03
2.366000000000000000e+05,2.366000000000000000e+06,-9.335859899999999470e+03
2.368000000000000000e+05,2.368000000000000000e+06,-9.345068799999999101e+03
2.370000000000000000e+05,2.370000000000000000e+06,-9.346670899999999165e+03
2.372000000000000000e+05,2.372000000000000000e+06,-9.341816000000000713e+03
2.374000000000000000e+05,2.374000000000000000e+06,-9.335515600000000632e+03
2.376000000000000000e+05,2.376000000000000000e+06,-9.345563000000000102e+03
2.378000000000000000e+05,2.378000000000000000e+06,-9.348902799999999843e+03
2.380000000000000000e+05,2.380000000000000000e+06,-9.326306300000000192e+03
2.382000000000000000e+05,2.382000000000000000e+06,-9.346717199999999139e+03
2.384000000000000000e+05,2.384000000000000000e+06,-9.343741700000000492e+03
2.386000000000000000e+05,2.386000000000000000e+06,-9.334191300000000410e+03
2.388000000000000000e+05,2.388000000000000000e+06,-9.342180899999999383e+03
2.390000000000000000e+05,2.390000000000000000e+06,-9.345765400000000227e+03
2.392000000000000000e+05,2.392000000000000000e+06,-9.330973200000000361e+03
2.394000000000000000e+05,2.394000000000000000e+06,-9.343344800000000760e+03
